nodes,percentile,delay
1000,50,4.335
1000,90,12.175
1000,95,15.769
1000,99,35.133
1000,99.9,172.278
1000,99.99,489.806
1500,50,2.928
1500,90,11.833
1500,95,17.438
1500,99,45.735
1500,99.9,158.274
1500,99.99,262.016
2000,50,3.174
2000,90,11.964
2000,95,17.239
2000,99,38.947
2000,99.9,160.065
2000,99.99,493.005
2500,50,3.76
2500,90,14.105
2500,95,19.661
2500,99,41.512
2500,99.9,151.011
2500,99.99,411.366
3000,50,4.25
3000,90,14.839
3000,95,20.227
3000,99,45.663
3000,99.9,172.627
3000,99.99,1139.087
3500,50,4.501
3500,90,15.242
3500,95,20.759
3500,99,42.108
3500,99.9,152.959
3500,99.99,260.079
