nodes,percentile,delay
1000,50,3.05
1000,90,11.787
1000,95,17.916
1000,99,46.748
1000,99.9,172.245
1000,99.99,240.141
1500,50,3.66
1500,90,14.079
1500,95,20.208
1500,99,45.264
1500,99.9,157.606
1500,99.99,491.856
2000,50,3.524
2000,90,13.668
2000,95,19.841
2000,99,44.603
2000,99.9,154.95
2000,99.99,308.555
2500,50,4.069
2500,90,14.98
2500,95,21.536
2500,99,47.242
2500,99.9,152.502
2500,99.99,559.898
3000,50,4.492
3000,90,15.567
3000,95,21.749
3000,99,48.659
3000,99.9,151.19
3000,99.99,490.935
3500,50,5.161
3500,90,16.468
3500,95,22.678
3500,99,49.895
3500,99.9,158.637
3500,99.99,348.023
