'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	500	0	1000.0	955	0.4838775055227904	1000.0	955	0.4838775055227904	1.0	80932	41.00646521148741	3.5	197364	100.00000000000001	3.5	197364	100.00000000000001
CassandraWriteRequest	500	1	3000.0	1000	0.5066780162542308	3000.0	980	0.4965444559291462	3.0	47069	23.84882754707039	10.5	0	0.0	10.5	0	0.0
CassandraWriteRequest	500	2	5000.0	905	0.4585436047100789	5000.0	925	0.4686771650351635	5.0	19688	9.975476784013296	17.5	0	0.0	17.5	0	0.0
CassandraWriteRequest	500	3	7000.0	1000	0.5066780162542308	7000.0	1000	0.5066780162542308	7.0	10855	5.499989866439676	24.5	0	0.0	24.5	0	0.0
CassandraWriteRequest	500	4	9000.0	994	0.5036379481567054	9000.0	994	0.5036379481567054	9.0	6838	3.46466427514643	31.5	0	0.0	31.5	0	0.0
CassandraWriteRequest	500	5	11000.0	999	0.5061713382379766	11000.0	999	0.5061713382379766	11.0	4745	2.4041871871263254	38.5	0	0.0	38.5	0	0.0
CassandraWriteRequest	500	6	13000.0	970	0.4914776757666039	13000.0	908	0.4600636387588416	13.0	3234	1.6385967045661824	45.5	0	0.0	45.5	0	0.0
CassandraWriteRequest	500	7	15000.0	851	0.4311829918323504	15000.0	913	0.4625970288401127	15.0	2599	1.3168561642447458	52.5	0	0.0	52.5	0	0.0
CassandraWriteRequest	500	8	17000.0	1000	0.5066780162542308	17000.0	999	0.5061713382379766	17.0	1939	0.9824486735169535	59.5	0	0.0	59.5	0	0.0
CassandraWriteRequest	500	9	19000.0	999	0.5061713382379766	19000.0	1000	0.5066780162542308	19.0	1698	0.8603392715996839	66.5	0	0.0	66.5	0	0.0
CassandraWriteRequest	500	10	21000.0	1000	0.5066780162542308	21000.0	1000	0.5066780162542308	21.0	1295	0.6561480310492289	73.5	0	0.0	73.5	0	0.0
CassandraWriteRequest	500	11	23000.0	999	0.5061713382379766	23000.0	964	0.4884376076690785	23.0	1071	0.5426521554082812	80.5	0	0.0	80.5	0	0.0
CassandraWriteRequest	500	12	25000.0	965	0.4889442856853327	25000.0	1000	0.5066780162542308	25.0	988	0.50059788005918	87.5	0	0.0	87.5	0	0.0
CassandraWriteRequest	500	13	27000.0	1000	0.5066780162542308	27000.0	1000	0.5066780162542308	27.0	843	0.4271295677023166	94.5	0	0.0	94.5	0	0.0
CassandraWriteRequest	500	14	29000.0	1000	0.5066780162542308	29000.0	1000	0.5066780162542308	29.0	735	0.3724083419468596	101.5	0	0.0	101.5	0	0.0
CassandraWriteRequest	500	15	31000.0	1000	0.5066780162542308	31000.0	1000	0.5066780162542308	31.0	796	0.4033157009383677	108.5	0	0.0	108.5	0	0.0
CassandraWriteRequest	500	16	33000.0	959	0.48590421758780733	33000.0	953	0.48286414949028195	33.0	585	0.29640663950872503	115.5	0	0.0	115.5	0	0.0
CassandraWriteRequest	500	17	35000.0	993	0.5031312701404512	35000.0	998	0.5056646602217223	35.0	514	0.26043250035467463	122.5	0	0.0	122.5	0	0.0
CassandraWriteRequest	500	18	37000.0	998	0.5056646602217223	37000.0	995	0.5041446261729596	37.0	596	0.30198009768752154	129.5	0	0.0	129.5	0	0.0
CassandraWriteRequest	500	19	39000.0	994	0.5036379481567054	39000.0	998	0.5056646602217223	39.0	583	0.2953932834762166	136.5	0	0.0	136.5	0	0.0
CassandraWriteRequest	500	20	41000.0	1000	0.5066780162542308	41000.0	1000	0.5066780162542308	41.0	480	0.2432054478020308	143.5	0	0.0	143.5	0	0.0
CassandraWriteRequest	500	21	43000.0	993	0.5031312701404512	43000.0	976	0.4945177438641293	43.0	443	0.22445836120062423	150.5	0	0.0	150.5	0	0.0
CassandraWriteRequest	500	22	45000.0	981	0.4970511339454004	45000.0	996	0.5046513041892139	45.0	492	0.24928558399708156	157.5	0	0.0	157.5	0	0.0
CassandraWriteRequest	500	23	47000.0	998	0.5056646602217223	47000.0	1000	0.5066780162542308	47.0	447	0.22648507326564116	164.5	0	0.0	164.5	0	0.0
CassandraWriteRequest	500	24	49000.0	998	0.5056646602217223	49000.0	990	0.5016112360916885	49.0	356	0.18037737378650617	171.5	0	0.0	171.5	0	0.0
CassandraWriteRequest	500	25	51000.0	990	0.5016112360916885	51000.0	998	0.5056646602217223	51.0	329	0.16669706734764195	178.5	0	0.0	178.5	0	0.0
CassandraWriteRequest	500	26	53000.0	1000	0.5066780162542308	53000.0	999	0.5061713382379766	53.0	348	0.17632394965647233	185.5	0	0.0	185.5	0	0.0
CassandraWriteRequest	500	27	55000.0	986	0.4995845240266716	55000.0	978	0.49553109989663774	55.0	377	0.19101761212784502	192.5	0	0.0	192.5	0	0.0
CassandraWriteRequest	500	28	57000.0	989	0.5011045580754343	57000.0	998	0.5056646602217223	57.0	393	0.1991244603879127	199.5	0	0.0	199.5	0	0.0
CassandraWriteRequest	500	29	59000.0	1000	0.5066780162542308	59000.0	998	0.5056646602217223	59.0	338	0.17125716949393002	206.5	0	0.0	206.5	0	0.0
CassandraWriteRequest	500	30	61000.0	998	0.5056646602217223	61000.0	1000	0.5066780162542308	61.0	299	0.151496726860015	213.5	0	0.0	213.5	0	0.0
CassandraWriteRequest	500	31	63000.0	1000	0.5066780162542308	63000.0	1000	0.5066780162542308	63.0	262	0.13274964025860847	220.5	0	0.0	220.5	0	0.0
CassandraWriteRequest	500	32	65000.0	974	0.4935043878316208	65000.0	974	0.4935043878316208	65.0	307	0.15555015099004885	227.5	0	0.0	227.5	0	0.0
CassandraWriteRequest	500	33	67000.0	1000	0.5066780162542308	67000.0	1000	0.5066780162542308	67.0	233	0.11805597778723578	234.5	0	0.0	234.5	0	0.0
CassandraWriteRequest	500	34	69000.0	1000	0.5066780162542308	69000.0	1000	0.5066780162542308	69.0	268	0.13578970835613385	241.5	0	0.0	241.5	0	0.0
CassandraWriteRequest	500	35	71000.0	1000	0.5066780162542308	71000.0	1000	0.5066780162542308	71.0	267	0.13528303033987962	248.5	0	0.0	248.5	0	0.0
CassandraWriteRequest	500	36	73000.0	981	0.4970511339454004	73000.0	977	0.4950244218803835	73.0	220	0.11146916357593077	255.5	0	0.0	255.5	0	0.0
CassandraWriteRequest	500	37	75000.0	995	0.5041446261729596	75000.0	999	0.5061713382379766	75.0	283	0.1433898785999473	262.5	0	0.0	262.5	0	0.0
CassandraWriteRequest	500	38	77000.0	1000	0.5066780162542308	77000.0	992	0.502624592124197	77.0	269	0.13629638637238808	269.5	0	0.0	269.5	0	0.0
CassandraWriteRequest	500	39	79000.0	990	0.5016112360916885	79000.0	998	0.5056646602217223	79.0	221	0.111975841592185	276.5	0	0.0	276.5	0	0.0
CassandraWriteRequest	500	40	81000.0	997	0.5051579822054681	81000.0	997	0.5051579822054681	81.0	198	0.1003222472183377	283.5	0	0.0	283.5	0	0.0
CassandraWriteRequest	500	41	83000.0	1000	0.5066780162542308	83000.0	1000	0.5066780162542308	83.0	174	0.08816197482823616	290.5	0	0.0	290.5	0	0.0
CassandraWriteRequest	500	42	85000.0	980	0.4965444559291462	85000.0	980	0.4965444559291462	85.0	200	0.10133560325084616	297.5	0	0.0	297.5	0	0.0
CassandraWriteRequest	500	43	87000.0	1000	0.5066780162542308	87000.0	1000	0.5066780162542308	87.0	221	0.111975841592185	304.5	0	0.0	304.5	0	0.0
CassandraWriteRequest	500	44	89000.0	1000	0.5066780162542308	89000.0	1000	0.5066780162542308	89.0	228	0.11552258770596463	311.5	0	0.0	311.5	0	0.0
CassandraWriteRequest	500	45	91000.0	1000	0.5066780162542308	91000.0	1000	0.5066780162542308	91.0	251	0.12717618207981193	318.5	0	0.0	318.5	0	0.0
CassandraWriteRequest	500	46	93000.0	993	0.5031312701404512	93000.0	990	0.5016112360916885	93.0	238	0.12058936786850694	325.5	0	0.0	325.5	0	0.0
CassandraWriteRequest	500	47	95000.0	997	0.5051579822054681	95000.0	1000	0.5066780162542308	95.0	234	0.11856265580349001	332.5	0	0.0	332.5	0	0.0
CassandraWriteRequest	500	48	97000.0	1000	0.5066780162542308	97000.0	998	0.5056646602217223	97.0	172	0.0871486187957277	339.5	0	0.0	339.5	0	0.0
CassandraWriteRequest	500	49	99000.0	971	0.4919843537828581	99000.0	973	0.49299770981536656	99.0	180	0.09120204292576155	346.5	0	0.0	346.5	0	0.0
CassandraWriteRequest	500	50	101000.0	1000	0.5066780162542308	101000.0	982	0.49755781196165466	101.0	172	0.0871486187957277	353.5	0	0.0	353.5	0	0.0
CassandraWriteRequest	500	51	103000.0	950	0.4813441154415193	103000.0	904	0.4580369266938247	103.0	116	0.058774649885490776	360.5	0	0.0	360.5	0	0.0
CassandraWriteRequest	500	52	105000.0	936	0.47425062321396005	105000.0	1000	0.5066780162542308	105.0	142	0.07194827830810077	367.5	0	0.0	367.5	0	0.0
CassandraWriteRequest	500	53	107000.0	1000	0.5066780162542308	107000.0	1000	0.5066780162542308	107.0	55	0.027867290893982693	374.5	0	0.0	374.5	0	0.0
CassandraWriteRequest	500	54	109000.0	1000	0.5066780162542308	109000.0	1000	0.5066780162542308	109.0	76	0.03850752923532154	381.5	0	0.0	381.5	0	0.0
CassandraWriteRequest	500	55	111000.0	1000	0.5066780162542308	111000.0	994	0.5036379481567054	111.0	27	0.013680306438864231	388.5	0	0.0	388.5	0	0.0
CassandraWriteRequest	500	56	113000.0	968	0.49046431973409543	113000.0	961	0.4869175736203158	113.0	31	0.015707018503881155	395.5	0	0.0	395.5	0	0.0
CassandraWriteRequest	500	57	115000.0	987	0.5000912020429258	115000.0	1000	0.5066780162542308	115.0	23	0.011653594373847309	402.5	0	0.0	402.5	0	0.0
CassandraWriteRequest	500	58	117000.0	999	0.5061713382379766	117000.0	999	0.5061713382379766	117.0	54	0.027360612877728462	409.5	0	0.0	409.5	0	0.0
CassandraWriteRequest	500	59	119000.0	1000	0.5066780162542308	119000.0	1000	0.5066780162542308	119.0	34	0.017227052552643847	416.5	0	0.0	416.5	0	0.0
CassandraWriteRequest	500	60	121000.0	1000	0.5066780162542308	121000.0	1000	0.5066780162542308	121.0	48	0.02432054478020308	423.5	0	0.0	423.5	0	0.0
CassandraWriteRequest	500	61	123000.0	1000	0.5066780162542308	123000.0	994	0.5036379481567054	123.0	27	0.013680306438864231	430.5	0	0.0	430.5	0	0.0
CassandraWriteRequest	500	62	125000.0	991	0.5021179141079427	125000.0	997	0.5051579822054681	125.0	18	0.009120204292576154	437.5	0	0.0	437.5	0	0.0
CassandraWriteRequest	500	63	127000.0	1000	0.5066780162542308	127000.0	1000	0.5066780162542308	127.0	10	0.005066780162542308	444.5	0	0.0	444.5	0	0.0
CassandraWriteRequest	500	64	129000.0	995	0.5041446261729596	129000.0	995	0.5041446261729596	129.0	10	0.005066780162542308	451.5	0	0.0	451.5	0	0.0
CassandraWriteRequest	500	65	131000.0	1000	0.5066780162542308	131000.0	1000	0.5066780162542308	131.0	8	0.0040534241300338465	458.5	0	0.0	458.5	0	0.0
CassandraWriteRequest	500	66	133000.0	830	0.42054275349101156	133000.0	830	0.42054275349101156	133.0	17	0.008613526276321923	465.5	0	0.0	465.5	0	0.0
CassandraWriteRequest	500	67	135000.0	997	0.5051579822054681	135000.0	997	0.5051579822054681	135.0	1	5.066780162542308E-4	472.5	0	0.0	472.5	0	0.0
CassandraWriteRequest	500	68	137000.0	999	0.5061713382379766	137000.0	999	0.5061713382379766	137.0	14	0.007093492227559232	479.5	0	0.0	479.5	0	0.0
CassandraWriteRequest	500	69	139000.0	1000	0.5066780162542308	139000.0	1000	0.5066780162542308	139.0	6	0.003040068097525385	486.5	0	0.0	486.5	0	0.0
CassandraWriteRequest	500	70	141000.0	1000	0.5066780162542308	141000.0	1000	0.5066780162542308	141.0	11	0.005573458178796539	493.5	0	0.0	493.5	0	0.0
CassandraWriteRequest	500	71	143000.0	1000	0.5066780162542308	143000.0	1000	0.5066780162542308	143.0	4	0.0020267120650169232	500.5	0	0.0	500.5	0	0.0
CassandraWriteRequest	500	72	145000.0	1000	0.5066780162542308	145000.0	1000	0.5066780162542308	145.0	11	0.005573458178796539	507.5	0	0.0	507.5	0	0.0
CassandraWriteRequest	500	73	147000.0	1000	0.5066780162542308	147000.0	1000	0.5066780162542308	147.0	6	0.003040068097525385	514.5	0	0.0	514.5	0	0.0
CassandraWriteRequest	500	74	149000.0	1000	0.5066780162542308	149000.0	1000	0.5066780162542308	149.0	4	0.0020267120650169232	521.5	0	0.0	521.5	0	0.0
CassandraWriteRequest	500	75	151000.0	1000	0.5066780162542308	151000.0	1000	0.5066780162542308	151.0	12	0.00608013619505077	528.5	0	0.0	528.5	0	0.0
CassandraWriteRequest	500	76	153000.0	1000	0.5066780162542308	153000.0	1000	0.5066780162542308	153.0	3	0.0015200340487626924	535.5	0	0.0	535.5	0	0.0
CassandraWriteRequest	500	77	155000.0	1000	0.5066780162542308	155000.0	1000	0.5066780162542308	155.0	1	5.066780162542308E-4	542.5	0	0.0	542.5	0	0.0
CassandraWriteRequest	500	78	157000.0	989	0.5011045580754343	157000.0	971	0.4919843537828581	157.0	2	0.0010133560325084616	549.5	0	0.0	549.5	0	0.0
CassandraWriteRequest	500	79	159000.0	927	0.46969052106767195	159000.0	945	0.4788107253602481	159.0	1	5.066780162542308E-4	556.5	0	0.0	556.5	0	0.0
CassandraWriteRequest	500	80	161000.0	1000	0.5066780162542308	161000.0	999	0.5061713382379766	161.0	1	5.066780162542308E-4	563.5	0	0.0	563.5	0	0.0
CassandraWriteRequest	500	81	163000.0	972	0.49249103179911236	163000.0	963	0.48793092965282425	163.0	0	0.0	570.5	0	0.0	570.5	0	0.0
CassandraWriteRequest	500	82	165000.0	964	0.4884376076690785	165000.0	974	0.4935043878316208	165.0	0	0.0	577.5	0	0.0	577.5	0	0.0
CassandraWriteRequest	500	83	167000.0	1000	0.5066780162542308	167000.0	1000	0.5066780162542308	167.0	0	0.0	584.5	0	0.0	584.5	0	0.0
CassandraWriteRequest	500	84	169000.0	1000	0.5066780162542308	169000.0	1000	0.5066780162542308	169.0	1	5.066780162542308E-4	591.5	0	0.0	591.5	0	0.0
CassandraWriteRequest	500	85	171000.0	1000	0.5066780162542308	171000.0	1000	0.5066780162542308	171.0	0	0.0	598.5	0	0.0	598.5	0	0.0
CassandraWriteRequest	500	86	173000.0	1000	0.5066780162542308	173000.0	1000	0.5066780162542308	173.0	0	0.0	605.5	0	0.0	605.5	0	0.0
CassandraWriteRequest	500	87	175000.0	914	0.463103706856367	175000.0	914	0.463103706856367	175.0	0	0.0	612.5	0	0.0	612.5	0	0.0
CassandraWriteRequest	500	88	177000.0	1000	0.5066780162542308	177000.0	1000	0.5066780162542308	177.0	0	0.0	619.5	0	0.0	619.5	0	0.0
CassandraWriteRequest	500	89	179000.0	1000	0.5066780162542308	179000.0	1000	0.5066780162542308	179.0	0	0.0	626.5	0	0.0	626.5	0	0.0
CassandraWriteRequest	500	90	181000.0	999	0.5061713382379766	181000.0	997	0.5051579822054681	181.0	0	0.0	633.5	0	0.0	633.5	0	0.0
CassandraWriteRequest	500	91	183000.0	973	0.49299770981536656	183000.0	959	0.48590421758780733	183.0	0	0.0	640.5	0	0.0	640.5	0	0.0
CassandraWriteRequest	500	92	185000.0	983	0.49806448997790886	185000.0	999	0.5061713382379766	185.0	0	0.0	647.5	0	0.0	647.5	0	0.0
CassandraWriteRequest	500	93	187000.0	1000	0.5066780162542308	187000.0	1000	0.5066780162542308	187.0	0	0.0	654.5	0	0.0	654.5	0	0.0
CassandraWriteRequest	500	94	189000.0	999	0.5061713382379766	189000.0	999	0.5061713382379766	189.0	16	0.008106848260067693	661.5	0	0.0	661.5	0	0.0
CassandraWriteRequest	500	95	191000.0	1000	0.5066780162542308	191000.0	999	0.5061713382379766	191.0	7	0.003546746113779616	668.5	0	0.0	668.5	0	0.0
CassandraWriteRequest	500	96	193000.0	998	0.5056646602217223	193000.0	999	0.5061713382379766	193.0	0	0.0	675.5	0	0.0	675.5	0	0.0
CassandraWriteRequest	500	97	195000.0	977	0.4950244218803835	195000.0	977	0.4950244218803835	195.0	0	0.0	682.5	0	0.0	682.5	0	0.0
CassandraWriteRequest	500	98	197000.0	1000	0.5066780162542308	197000.0	1000	0.5066780162542308	197.0	0	0.0	689.5	0	0.0	689.5	0	0.0
CassandraWriteRequest	500	99	199000.0	1000	0.5066780162542308	199000.0	1000	0.5066780162542308	199.0	0	0.0	696.5	0	0.0	696.5	0	0.0
CassandraWriteRequest	500	100	201000.0	1000	0.5066780162542308	201000.0	1000	0.5066780162542308	201.0	0	0.0	703.5	0	0.0	703.5	0	0.0
CassandraWriteRequest	500	101	203000.0	997	0.5051579822054681	203000.0	981	0.4970511339454004	203.0	0	0.0	710.5	0	0.0	710.5	0	0.0
CassandraWriteRequest	500	102	205000.0	951	0.4818507934577735	205000.0	937	0.47475730123021426	205.0	0	0.0	717.5	0	0.0	717.5	0	0.0
CassandraWriteRequest	500	103	207000.0	955	0.4838775055227904	207000.0	979	0.49603777791289194	207.0	0	0.0	724.5	0	0.0	724.5	0	0.0
