'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	1000	0	1000.0	1956	0.4991909839370754	1000.0	1917	0.48923778947207236	1.0	87880	22.427864861140176	4.0	391834	100.0	4.0	391834	100.0
CassandraWriteRequest	1000	1	3000.0	1818	0.4639719881378339	3000.0	1826	0.4660136690537319	3.0	90927	23.20549007998285	12.0	0	0.0	12.0	0	0.0
CassandraWriteRequest	1000	2	5000.0	1928	0.4920451007314322	5000.0	1946	0.4966388827922028	5.0	49156	12.545108387735622	20.0	0	0.0	20.0	0	0.0
CassandraWriteRequest	1000	3	7000.0	1827	0.4662688791682192	7000.0	1806	0.4609094667639868	7.0	31646	8.076379283063746	28.0	0	0.0	28.0	0	0.0
CassandraWriteRequest	1000	4	9000.0	1931	0.492810731074894	9000.0	1965	0.5014878749674607	9.0	22289	5.688378241806479	36.0	0	0.0	36.0	0	0.0
CassandraWriteRequest	1000	5	11000.0	2000	0.5104202289745148	11000.0	2000	0.5104202289745148	11.0	16732	4.27017563560079	44.0	0	0.0	44.0	0	0.0
CassandraWriteRequest	1000	6	13000.0	2000	0.5104202289745148	13000.0	1987	0.5071024974861804	13.0	13221	3.37413292363603	52.0	0	0.0	52.0	0	0.0
CassandraWriteRequest	1000	7	15000.0	1981	0.5055712367992569	15000.0	1988	0.5073577076006677	15.0	10253	2.61666930383785	60.0	0	0.0	60.0	0	0.0
CassandraWriteRequest	1000	8	17000.0	1937	0.49434199176181753	17000.0	1939	0.49485241199079205	17.0	8245	2.104207393947437	68.0	0	0.0	68.0	0	0.0
CassandraWriteRequest	1000	9	19000.0	1994	0.5088889682875912	19000.0	1995	0.5091441784020785	19.0	6749	1.7224130626745	76.0	0	0.0	76.0	0	0.0
CassandraWriteRequest	1000	10	21000.0	1997	0.509654598631053	21000.0	2000	0.5104202289745148	21.0	5617	1.4335152130749247	84.0	0	0.0	84.0	0	0.0
