'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	1000	0	1000.0	1995	0.5057598312612813	1000.0	1994	0.505506317561401	1.0	190529	48.301711724501594	4.0	394456	100.0	4.0	394456	100.0
CassandraWriteRequest	1000	1	3000.0	1896	0.48066197497312757	3000.0	1833	0.464690611880666	3.0	78043	19.784969679761495	12.0	0	0.0	12.0	0	0.0
CassandraWriteRequest	1000	2	5000.0	1897	0.4809154886730079	5000.0	1951	0.4946052284665463	5.0	34593	8.769799419960654	20.0	0	0.0	20.0	0	0.0
CassandraWriteRequest	1000	3	7000.0	1980	0.5019571257630763	7000.0	1987	0.5037317216622387	7.0	20277	5.140497292473685	28.0	0	0.0	28.0	0	0.0
CassandraWriteRequest	1000	4	9000.0	1995	0.5057598312612813	9000.0	1997	0.506266858661042	9.0	12733	3.2279899405763888	36.0	0	0.0	36.0	0	0.0
CassandraWriteRequest	1000	5	11000.0	1995	0.5057598312612813	11000.0	1989	0.5042387490619993	11.0	9332	2.365789847283347	44.0	0	0.0	44.0	0	0.0
CassandraWriteRequest	1000	6	13000.0	1993	0.5052528038615207	13000.0	2000	0.5070273997606831	13.0	7268	1.8425375707303222	52.0	0	0.0	52.0	0	0.0
CassandraWriteRequest	1000	7	15000.0	2000	0.5070273997606831	15000.0	2000	0.5070273997606831	15.0	5665	1.4361551098221348	60.0	0	0.0	60.0	0	0.0
CassandraWriteRequest	1000	8	17000.0	2000	0.5070273997606831	17000.0	2000	0.5070273997606831	17.0	4356	1.1043056766787678	68.0	0	0.0	68.0	0	0.0
CassandraWriteRequest	1000	9	19000.0	1991	0.50474577646176	19000.0	1986	0.5034782079623583	19.0	3246	0.8229054698115886	76.0	0	0.0	76.0	0	0.0
CassandraWriteRequest	1000	10	21000.0	1989	0.5042387490619993	21000.0	1993	0.5052528038615207	21.0	2401	0.6086863934127	84.0	0	0.0	84.0	0	0.0
