'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	2000	0	1000.0	3996	0.5169643480893278	1000.0	3996	0.5169643480893278	1.5	238304	30.82949749926906	4.0	772974	100.00000000000001	4.0	772974	100.00000000000001
CassandraWriteRequest	2000	1	3000.0	3981	0.5150237912271306	3000.0	3981	0.5150237912271306	4.5	192761	24.937578754265992	12.0	0	0.0	12.0	0	0.0
CassandraWriteRequest	2000	2	5000.0	3497	0.4524084898069017	5000.0	3433	0.44412878052819377	7.5	113979	14.745515373091465	20.0	0	0.0	20.0	0	0.0
CassandraWriteRequest	2000	3	7000.0	3895	0.5038979318838668	7000.0	3951	0.5111426775027362	10.5	68906	8.914400743103908	28.0	0	0.0	28.0	0	0.0
CassandraWriteRequest	2000	4	9000.0	3988	0.5159293844294893	9000.0	3990	0.5161881253444489	13.5	40936	5.295909047393574	36.0	0	0.0	36.0	0	0.0
CassandraWriteRequest	2000	5	11000.0	3929	0.5082965274381804	11000.0	3910	0.505838488746064	16.5	25903	3.3510829600995637	44.0	0	0.0	44.0	0	0.0
CassandraWriteRequest	2000	6	13000.0	3972	0.5138594571098123	13000.0	3972	0.5138594571098123	19.5	18242	2.359975885346726	52.0	0	0.0	52.0	0	0.0
CassandraWriteRequest	2000	7	15000.0	3919	0.5070028228633823	15000.0	3943	0.5101077138428978	22.5	13009	1.682980281354871	60.0	0	0.0	60.0	0	0.0
CassandraWriteRequest	2000	8	17000.0	3968	0.513341975279893	17000.0	3921	0.5072615637783419	25.5	9389	1.2146592252779524	68.0	0	0.0	68.0	0	0.0
CassandraWriteRequest	2000	9	19000.0	3824	0.49471262940280014	19000.0	3819	0.49406577711540106	28.5	7120	0.9211176572562597	76.0	0	0.0	76.0	0	0.0
CassandraWriteRequest	2000	10	21000.0	3947	0.510625195672817	21000.0	3999	0.5173524594617672	31.5	5515	0.7134780730011618	84.0	0	0.0	84.0	0	0.0
CassandraWriteRequest	2000	11	23000.0	3996	0.5169643480893278	23000.0	3997	0.5170937185468075	34.5	4405	0.5698768651985707	92.0	0	0.0	92.0	0	0.0
CassandraWriteRequest	2000	12	25000.0	3207	0.4148910571377563	25000.0	3156	0.4082931638062859	37.5	3702	0.47892943359026313	100.0	0	0.0	100.0	0	0.0
CassandraWriteRequest	2000	13	27000.0	3921	0.5072615637783419	27000.0	3959	0.5121776411625747	40.5	3100	0.40104841818741643	108.0	0	0.0	108.0	0	0.0
CassandraWriteRequest	2000	14	29000.0	3975	0.5142475684822517	29000.0	3981	0.5150237912271306	43.5	3150	0.407516941061407	116.0	0	0.0	116.0	0	0.0
CassandraWriteRequest	2000	15	31000.0	3992	0.5164468662594085	31000.0	3996	0.5169643480893278	46.5	2557	0.3308002597758787	124.0	0	0.0	124.0	0	0.0
CassandraWriteRequest	2000	16	33000.0	3995	0.5168349776318479	33000.0	3997	0.5170937185468075	49.5	2091	0.2705136265902864	132.0	0	0.0	132.0	0	0.0
CassandraWriteRequest	2000	17	35000.0	3252	0.4207127277243478	35000.0	3190	0.4126917593605995	52.5	1673	0.21643677536372508	140.0	0	0.0	140.0	0	0.0
