'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	1500	0	1000.5	1764	0.3120726471155394	1000.5	1700	0.3007502835013702	1.5	105825	18.721705147960293	5.5	565253	99.99999999999999	5.5	565253	99.99999999999999
CassandraWriteRequest	1500	1	3001.5	2178	0.3853141867446966	3001.5	2182	0.3860218344705822	4.5	111829	19.783884384514543	16.5	0	0.0	16.5	0	0.0
CassandraWriteRequest	1500	2	5002.5	2822	0.4992454706122745	5002.5	2832	0.5010145899269884	7.5	71157	12.588522307709997	27.5	0	0.0	27.5	0	0.0
CassandraWriteRequest	1500	3	7003.5	2352	0.41609686282071917	7003.5	2346	0.4150353912318908	10.5	50751	8.978457434104728	38.5	0	0.0	38.5	0	0.0
CassandraWriteRequest	1500	4	9004.5	2528	0.44723336275968456	9004.5	2558	0.4525407207038264	13.5	38783	6.861175438255081	49.5	0	0.0	49.5	0	0.0
CassandraWriteRequest	1500	5	11005.5	2739	0.48456178030014874	11005.5	2702	0.47801603883570715	16.5	29915	5.2923204299667574	60.5	0	0.0	60.5	0	0.0
CassandraWriteRequest	1500	6	13006.5	2823	0.4994223825437459	13006.5	2858	0.5056143001452447	19.5	23131	4.09214988686482	71.5	0	0.0	71.5	0	0.0
CassandraWriteRequest	1500	7	15007.5	2848	0.5038451808305308	15007.5	2845	0.5033144450361166	22.5	17762	3.142309726794904	82.5	0	0.0	82.5	0	0.0
CassandraWriteRequest	1500	8	17008.5	2757	0.48774619506663386	17008.5	2733	0.4835003087113204	25.5	13974	2.4721673303812626	93.5	0	0.0	93.5	0	0.0
CassandraWriteRequest	1500	9	19009.5	2675	0.4732394166859795	19009.5	2728	0.4826157490539634	28.5	11329	2.004235271639425	104.5	0	0.0	104.5	0	0.0
CassandraWriteRequest	1500	10	21010.5	2793	0.49411502459960405	21010.5	2795	0.49446884846254685	31.5	9593	1.6971161586050847	115.5	0	0.0	115.5	0	0.0
CassandraWriteRequest	1500	11	23011.5	2927	0.5178212234167708	23011.5	2927	0.5178212234167708	34.5	8111	1.4349326761644785	126.5	0	0.0	126.5	0	0.0
CassandraWriteRequest	1500	12	25012.5	2801	0.4955303200513752	25012.5	2737	0.48420795643720593	37.5	7120	1.2596129520763268	137.5	0	0.0	137.5	0	0.0
CassandraWriteRequest	1500	13	27013.5	2875	0.5086218029802584	27013.5	2911	0.5149906325132285	40.5	6248	1.105345747833271	148.5	0	0.0	148.5	0	0.0
CassandraWriteRequest	1500	14	29014.5	2927	0.5178212234167708	29014.5	2955	0.5227747574979699	43.5	5483	0.9700081202576545	159.5	0	0.0	159.5	0	0.0
CassandraWriteRequest	1500	15	31015.5	2922	0.5169366637594139	31015.5	2887	0.5107447461579151	46.5	4754	0.8410393222150081	170.5	0	0.0	170.5	0	0.0
CassandraWriteRequest	1500	16	33016.5	2964	0.5243669648812125	33016.5	2999	0.5305588824827112	49.5	4057	0.7177317059794464	181.5	0	0.0	181.5	0	0.0
CassandraWriteRequest	1500	17	35017.5	2957	0.5231285813609127	35017.5	2928	0.5179981353482422	52.5	3549	0.6278604447919781	192.5	0	0.0	192.5	0	0.0
CassandraWriteRequest	1500	18	37018.5	2373	0.41981201338161844	37018.5	2344	0.414681567368948	55.5	3183	0.5631106778734478	203.5	0	0.0	203.5	0	0.0
CassandraWriteRequest	1500	19	39019.5	2909	0.5146368086502857	39019.5	2967	0.5248977006756266	58.5	2920	0.5165828398964711	214.5	0	0.0	214.5	0	0.0
CassandraWriteRequest	1500	20	41020.5	2941	0.5202979904573704	41020.5	2926	0.5176443114852994	61.5	2655	0.46970117805655165	225.5	0	0.0	225.5	0	0.0
CassandraWriteRequest	1500	21	43021.5	2595	0.459086462168268	43021.5	2610	0.4617401411403389	64.5	2317	0.4099049452192204	236.5	0	0.0	236.5	0	0.0
CassandraWriteRequest	1500	22	45022.5	2984	0.5279052035106403	45022.5	2983	0.5277282915791689	67.5	2236	0.39557507877003745	247.5	0	0.0	247.5	0	0.0
CassandraWriteRequest	1500	23	47023.5	2999	0.5305588824827112	47023.5	2995	0.5298512347568257	70.5	2004	0.354531510668674	258.5	0	0.0	258.5	0	0.0
CassandraWriteRequest	1500	24	49024.5	2995	0.5298512347568257	49024.5	3000	0.5307357944141826	73.5	1853	0.3278178090164935	269.5	0	0.0	269.5	0	0.0
CassandraWriteRequest	1500	25	51025.5	2182	0.3860218344705822	51025.5	2118	0.3746994708564129	76.5	1888	0.3340097266179923	280.5	0	0.0	280.5	0	0.0
CassandraWriteRequest	1500	26	53026.5	2882	0.5098601865005581	53026.5	2946	0.5211825501147274	79.5	1843	0.3260486897017795	291.5	0	0.0	291.5	0	0.0
CassandraWriteRequest	1500	27	55027.5	3000	0.5307357944141826	55027.5	3000	0.5307357944141826	82.5	1736	0.30711911303434036	302.5	0	0.0	302.5	0	0.0
CassandraWriteRequest	1500	28	57028.5	2097	0.37098432029551365	57028.5	2040	0.3609003402016442	85.5	1581	0.27969776365627425	313.5	0	0.0	313.5	0	0.0
CassandraWriteRequest	1500	29	59029.5	2936	0.5194134308000135	59029.5	2993	0.5294974108938829	88.5	1551	0.2743904057121324	324.5	0	0.0	324.5	0	0.0
CassandraWriteRequest	1500	30	61030.5	2890	0.5112754819523293	61030.5	2826	0.49995311833816003	91.5	1427	0.25245332620967953	335.5	0	0.0	335.5	0	0.0
CassandraWriteRequest	1500	31	63031.5	2920	0.5165828398964711	63031.5	2980	0.5271975557847548	94.5	1587	0.2807592352451026	346.5	0	0.0	346.5	0	0.0
CassandraWriteRequest	1500	32	65032.5	2894	0.5119831296782148	65032.5	2875	0.5086218029802584	97.5	1575	0.2786362920674459	357.5	0	0.0	357.5	0	0.0
CassandraWriteRequest	1500	33	67033.5	2869	0.50756033139143	67033.5	2892	0.5116293058152721	100.5	1571	0.2779286443415603	368.5	0	0.0	368.5	0	0.0
CassandraWriteRequest	1500	34	69034.5	2803	0.49588414391431795	69034.5	2799	0.4951764961884324	103.5	1333	0.23582360465136848	379.5	0	0.0	379.5	0	0.0
CassandraWriteRequest	1500	35	71035.5	2956	0.5229516694294413	71035.5	2943	0.5206518143203132	106.5	934	0.1652357439942822	390.5	0	0.0	390.5	0	0.0
CassandraWriteRequest	1500	36	73036.5	2784	0.4925228172163615	73036.5	2797	0.4948226723254896	109.5	730	0.12914570997411778	401.5	0	0.0	401.5	0	0.0
CassandraWriteRequest	1500	37	75037.5	2837	0.5018991495843453	75037.5	2801	0.4955303200513752	112.5	643	0.11375437193610648	412.5	0	0.0	412.5	0	0.0
CassandraWriteRequest	1500	38	77038.5	2866	0.5070295955970158	77038.5	2906	0.5141060728558716	115.5	551	0.09747847424073822	423.5	0	0.0	423.5	0	0.0
CassandraWriteRequest	1500	39	79039.5	3000	0.5307357944141826	79039.5	3000	0.5307357944141826	118.5	480	0.08491772710626923	434.5	0	0.0	434.5	0	0.0
CassandraWriteRequest	1500	40	81040.5	2767	0.48951531438134777	81040.5	2762	0.4886307547239908	121.5	470	0.08314860779155528	445.5	0	0.0	445.5	0	0.0
CassandraWriteRequest	1500	41	83041.5	2990	0.5289666750994687	83041.5	2986	0.5282590273735831	124.5	318	0.05625799420790336	456.5	0	0.0	456.5	0	0.0
CassandraWriteRequest	1500	42	85042.5	2898	0.5126907774041004	85042.5	2881	0.5096832745690867	127.5	289	0.05112754819523293	467.5	0	0.0	467.5	0	0.0
CassandraWriteRequest	1500	43	87043.5	2814	0.4978301751605033	87043.5	2814	0.4978301751605033	130.5	250	0.044227982867848556	478.5	0	0.0	478.5	0	0.0
CassandraWriteRequest	1500	44	89044.5	2965	0.5245438768126839	89044.5	2970	0.5254284364700408	133.5	194	0.03432091470545048	489.5	0	0.0	489.5	0	0.0
CassandraWriteRequest	1500	45	91045.5	2709	0.4792544223560069	91045.5	2668	0.47200103316567976	136.5	232	0.041043568101363455	500.5	0	0.0	500.5	0	0.0
CassandraWriteRequest	1500	46	93046.5	2799	0.4951764961884324	93046.5	2836	0.5017222376528739	139.5	205	0.036266945951635814	511.5	0	0.0	511.5	0	0.0
CassandraWriteRequest	1500	47	95047.5	2948	0.5215363739776702	95047.5	2967	0.5248977006756266	142.5	203	0.035913122088693024	522.5	0	0.0	522.5	0	0.0
CassandraWriteRequest	1500	48	97048.5	2707	0.47890059849306416	97048.5	2703	0.47819295076717855	145.5	204	0.03609003402016442	533.5	0	0.0	533.5	0	0.0
CassandraWriteRequest	1500	49	99049.5	2960	0.5236593171553269	99049.5	2939	0.5199441665944275	148.5	154	0.02724443744659471	544.5	0	0.0	544.5	0	0.0
CassandraWriteRequest	1500	50	101050.5	2958	0.5233054932923841	101050.5	2986	0.5282590273735831	151.5	141	0.024944582337466582	555.5	0	0.0	555.5	0	0.0
CassandraWriteRequest	1500	51	103051.5	2904	0.5137522489929288	103051.5	2907	0.514282984787343	154.5	128	0.02264472722833846	566.5	0	0.0	566.5	0	0.0
CassandraWriteRequest	1500	52	105052.5	2994	0.5296743228253543	105052.5	2986	0.5282590273735831	157.5	118	0.020875607913624517	577.5	0	0.0	577.5	0	0.0
