'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	500	0	1000.0	987	0.5185348631950574	1000.0	983	0.5164334047829193	1.5	77480	40.70524944311352	34.0	190275	99.96374984239063	34.0	190275	99.96374984239063
CassandraWriteRequest	500	1	3000.0	991	0.5206363216071954	3000.0	994	0.5222124154162989	4.5	40715	21.390219812549912	102.0	0	0.0	102.0	0	0.0
CassandraWriteRequest	500	2	5000.0	949	0.49857100827974615	5000.0	939	0.4933173622494011	7.5	18696	9.822216618333124	170.0	0	0.0	170.0	0	0.0
CassandraWriteRequest	500	3	7000.0	976	0.5127558525616778	7000.0	987	0.5185348631950574	10.5	10825	5.687071827848527	238.0	0	0.0	238.0	0	0.0
CassandraWriteRequest	500	4	9000.0	1000	0.5253646030345059	9000.0	1000	0.5253646030345059	13.5	7180	3.7721178497877528	306.0	0	0.0	306.0	0	0.0
CassandraWriteRequest	500	5	11000.0	938	0.4927919976463666	11000.0	927	0.487012987012987	16.5	5380	2.826461564325642	374.0	0	0.0	374.0	0	0.0
CassandraWriteRequest	500	6	13000.0	989	0.5195855924011265	13000.0	1000	0.5253646030345059	19.5	4022	2.113016433404783	442.0	0	0.0	442.0	0	0.0
CassandraWriteRequest	500	7	15000.0	988	0.5190602277980919	15000.0	963	0.5059261127222292	22.5	3121	1.6396629260706932	510.0	0	0.0	510.0	0	0.0
CassandraWriteRequest	500	8	17000.0	960	0.5043500189131257	17000.0	985	0.5174841339889884	25.5	2396	1.2587735888706764	578.0	0	0.0	578.0	0	0.0
CassandraWriteRequest	500	9	19000.0	1000	0.5253646030345059	19000.0	1000	0.5253646030345059	28.5	2071	1.088030092884462	646.0	0	0.0	646.0	0	0.0
CassandraWriteRequest	500	10	21000.0	1000	0.5253646030345059	21000.0	1000	0.5253646030345059	31.5	1749	0.9188626907073509	714.0	0	0.0	714.0	0	0.0
CassandraWriteRequest	500	11	23000.0	999	0.5248392384314715	23000.0	999	0.5248392384314715	34.5	1376	0.7229016937754802	782.0	0	0.0	782.0	0	0.0
CassandraWriteRequest	500	12	25000.0	999	0.5248392384314715	25000.0	982	0.5159080401798849	37.5	1238	0.6504013785567184	850.0	0	0.0	850.0	0	0.0
CassandraWriteRequest	500	13	27000.0	983	0.5164334047829193	27000.0	1000	0.5253646030345059	40.5	1336	0.7018871096541	918.0	0	0.0	918.0	0	0.0
CassandraWriteRequest	500	14	29000.0	1000	0.5253646030345059	29000.0	1000	0.5253646030345059	43.5	1267	0.6656369520447191	986.0	0	0.0	986.0	0	0.0
CassandraWriteRequest	500	15	31000.0	1000	0.5253646030345059	31000.0	1000	0.5253646030345059	46.5	966	0.5075022065313327	1054.0	0	0.0	1054.0	0	0.0
CassandraWriteRequest	500	16	33000.0	997	0.5237885092254024	33000.0	997	0.5237885092254024	49.5	835	0.4386794435338125	1122.0	0	0.0	1122.0	0	0.0
