'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	500	0	1000.0	999	0.5036119919139777	1000.0	999	0.5036119919139777	0.5	54242	27.344265931329303	3.0	198367	100.0	3.0	198367	100.0
CassandraWriteRequest	500	1	3000.0	996	0.5020996435899117	3000.0	996	0.5020996435899117	1.5	54909	27.68051137537998	9.0	0	0.0	9.0	0	0.0
CassandraWriteRequest	500	2	5000.0	986	0.49705848250969165	5000.0	962	0.48495969591716365	2.5	27128	13.675661778420807	15.0	0	0.0	15.0	0	0.0
CassandraWriteRequest	500	3	7000.0	976	0.49201732142947163	7000.0	1000	0.5041161080219997	3.5	14924	7.523428796120323	21.0	0	0.0	21.0	0	0.0
CassandraWriteRequest	500	4	9000.0	991	0.49957906304980165	9000.0	990	0.4990749469417796	4.5	9659	4.869257487384495	27.0	0	0.0	27.0	0	0.0
CassandraWriteRequest	500	5	11000.0	998	0.5031078758059556	11000.0	999	0.5036119919139777	5.5	6629	3.3417856800778356	33.0	0	0.0	33.0	0	0.0
CassandraWriteRequest	500	6	13000.0	997	0.5026037596979337	13000.0	984	0.49605025029364763	6.5	4665	2.3517016439226284	39.0	0	0.0	39.0	0	0.0
CassandraWriteRequest	500	7	15000.0	965	0.48647204424122964	15000.0	978	0.49302555364551565	7.5	3390	1.7089536061945787	45.0	0	0.0	45.0	0	0.0
CassandraWriteRequest	500	8	17000.0	994	0.5010914113738676	17000.0	972	0.49000085699738366	8.5	2490	1.255249108974779	51.0	0	0.0	51.0	0	0.0
CassandraWriteRequest	500	9	19000.0	968	0.48798439256529563	19000.0	990	0.4990749469417796	9.5	2090	1.0536026657659792	57.0	0	0.0	57.0	0	0.0
CassandraWriteRequest	500	10	21000.0	998	0.5031078758059556	21000.0	989	0.49857083083375764	10.5	1619	0.8161639788876174	63.0	0	0.0	63.0	0	0.0
CassandraWriteRequest	500	11	23000.0	991	0.49957906304980165	23000.0	996	0.5020996435899117	11.5	1209	0.6094763745985976	69.0	0	0.0	69.0	0	0.0
CassandraWriteRequest	500	12	25000.0	992	0.5000831791578236	25000.0	996	0.5020996435899117	12.5	1027	0.5177272429385936	75.0	0	0.0	75.0	0	0.0
CassandraWriteRequest	500	13	27000.0	966	0.4869761603492517	27000.0	903	0.45521684554386566	13.5	989	0.49857083083375764	81.0	0	0.0	81.0	0	0.0
CassandraWriteRequest	500	14	29000.0	927	0.46731563213639365	29000.0	985	0.49655436640166967	14.5	999	0.5036119919139777	87.0	0	0.0	87.0	0	0.0
CassandraWriteRequest	500	15	31000.0	995	0.5015955274818896	31000.0	1000	0.5041161080219997	15.5	776	0.3911940998250717	93.0	0	0.0	93.0	0	0.0
CassandraWriteRequest	500	16	33000.0	1000	0.5041161080219997	33000.0	1000	0.5041161080219997	16.5	621	0.31305610308166176	99.0	0	0.0	99.0	0	0.0
CassandraWriteRequest	500	17	35000.0	1000	0.5041161080219997	35000.0	1000	0.5041161080219997	17.5	513	0.2586115634152858	105.0	0	0.0	105.0	0	0.0
CassandraWriteRequest	500	18	37000.0	1000	0.5041161080219997	37000.0	1000	0.5041161080219997	18.5	491	0.2475210090388018	111.0	0	0.0	111.0	0	0.0
CassandraWriteRequest	500	19	39000.0	1000	0.5041161080219997	39000.0	1000	0.5041161080219997	19.5	464	0.23390987412220784	117.0	0	0.0	117.0	0	0.0
CassandraWriteRequest	500	20	41000.0	1000	0.5041161080219997	41000.0	1000	0.5041161080219997	20.5	376	0.18954765661627188	123.0	0	0.0	123.0	0	0.0
CassandraWriteRequest	500	21	43000.0	1000	0.5041161080219997	43000.0	1000	0.5041161080219997	21.5	326	0.1643418512151719	129.0	0	0.0	129.0	0	0.0
CassandraWriteRequest	500	22	45000.0	1000	0.5041161080219997	45000.0	1000	0.5041161080219997	22.5	309	0.15577187737879788	135.0	0	0.0	135.0	0	0.0
CassandraWriteRequest	500	23	47000.0	1000	0.5041161080219997	47000.0	1000	0.5041161080219997	23.5	275	0.1386319297060499	141.0	0	0.0	141.0	0	0.0
CassandraWriteRequest	500	24	49000.0	1000	0.5041161080219997	49000.0	1000	0.5041161080219997	24.5	295	0.1487142518664899	147.0	0	0.0	147.0	0	0.0
CassandraWriteRequest	500	25	51000.0	1000	0.5041161080219997	51000.0	999	0.5036119919139777	25.5	270	0.1361113491659399	153.0	0	0.0	153.0	0	0.0
CassandraWriteRequest	500	26	53000.0	999	0.5036119919139777	53000.0	1000	0.5041161080219997	26.5	217	0.10939319544077392	159.0	0	0.0	159.0	0	0.0
CassandraWriteRequest	500	27	55000.0	1000	0.5041161080219997	55000.0	1000	0.5041161080219997	27.5	205	0.10334380214450993	165.0	0	0.0	165.0	0	0.0
CassandraWriteRequest	500	28	57000.0	989	0.49857083083375764	57000.0	989	0.49857083083375764	28.5	196	0.09880675717231192	171.0	0	0.0	171.0	0	0.0
CassandraWriteRequest	500	29	59000.0	997	0.5026037596979337	59000.0	997	0.5026037596979337	29.5	192	0.09679029274022394	177.0	0	0.0	177.0	0	0.0
CassandraWriteRequest	500	30	61000.0	999	0.5036119919139777	61000.0	999	0.5036119919139777	30.5	120	0.060493932962639954	183.0	0	0.0	183.0	0	0.0
CassandraWriteRequest	500	31	63000.0	996	0.5020996435899117	63000.0	996	0.5020996435899117	31.5	219	0.11040142765681792	189.0	0	0.0	189.0	0	0.0
CassandraWriteRequest	500	32	65000.0	979	0.4935296697535376	65000.0	979	0.4935296697535376	32.5	188	0.09477382830813594	195.0	0	0.0	195.0	0	0.0
CassandraWriteRequest	500	33	67000.0	999	0.5036119919139777	67000.0	996	0.5020996435899117	33.5	161	0.08116269339154195	201.0	0	0.0	201.0	0	0.0
CassandraWriteRequest	500	34	69000.0	990	0.4990749469417796	69000.0	993	0.5005872952658457	34.5	175	0.08822031890384993	207.0	0	0.0	207.0	0	0.0
CassandraWriteRequest	500	35	71000.0	999	0.5036119919139777	71000.0	998	0.5031078758059556	35.5	125	0.06301451350274996	213.0	0	0.0	213.0	0	0.0
CassandraWriteRequest	500	36	73000.0	996	0.5020996435899117	73000.0	997	0.5026037596979337	36.5	120	0.060493932962639954	219.0	0	0.0	219.0	0	0.0
CassandraWriteRequest	500	37	75000.0	1000	0.5041161080219997	75000.0	1000	0.5041161080219997	37.5	111	0.05595688799044196	225.0	0	0.0	225.0	0	0.0
CassandraWriteRequest	500	38	77000.0	1000	0.5041161080219997	77000.0	1000	0.5041161080219997	38.5	144	0.07259271955516795	231.0	0	0.0	231.0	0	0.0
CassandraWriteRequest	500	39	79000.0	1000	0.5041161080219997	79000.0	1000	0.5041161080219997	39.5	127	0.06402274571879396	237.0	0	0.0	237.0	0	0.0
CassandraWriteRequest	500	40	81000.0	1000	0.5041161080219997	81000.0	1000	0.5041161080219997	40.5	159	0.08015446117549795	243.0	0	0.0	243.0	0	0.0
CassandraWriteRequest	500	41	83000.0	1000	0.5041161080219997	83000.0	1000	0.5041161080219997	41.5	121	0.060998049070661954	249.0	0	0.0	249.0	0	0.0
CassandraWriteRequest	500	42	85000.0	1000	0.5041161080219997	85000.0	1000	0.5041161080219997	42.5	140	0.07057625512307995	255.0	0	0.0	255.0	0	0.0
CassandraWriteRequest	500	43	87000.0	1000	0.5041161080219997	87000.0	945	0.47638972208078967	43.5	109	0.05494865577439796	261.0	0	0.0	261.0	0	0.0
CassandraWriteRequest	500	44	89000.0	945	0.47638972208078967	89000.0	1000	0.5041161080219997	44.5	134	0.06755155847494795	267.0	0	0.0	267.0	0	0.0
CassandraWriteRequest	500	45	91000.0	1000	0.5041161080219997	91000.0	1000	0.5041161080219997	45.5	126	0.06351862961077195	273.0	0	0.0	273.0	0	0.0
CassandraWriteRequest	500	46	93000.0	1000	0.5041161080219997	93000.0	1000	0.5041161080219997	46.5	85	0.04284986918186997	279.0	0	0.0	279.0	0	0.0
CassandraWriteRequest	500	47	95000.0	1000	0.5041161080219997	95000.0	1000	0.5041161080219997	47.5	166	0.08368327393165194	285.0	0	0.0	285.0	0	0.0
CassandraWriteRequest	500	48	97000.0	1000	0.5041161080219997	97000.0	974	0.4910090892134277	48.5	107	0.05394042355835396	291.0	0	0.0	291.0	0	0.0
CassandraWriteRequest	500	49	99000.0	974	0.4910090892134277	99000.0	1000	0.5041161080219997	49.5	101	0.05091572691022196	297.0	0	0.0	297.0	0	0.0
CassandraWriteRequest	500	50	101000.0	1000	0.5041161080219997	101000.0	1000	0.5041161080219997	50.5	91	0.04587456583000197	303.0	0	0.0	303.0	0	0.0
CassandraWriteRequest	500	51	103000.0	1000	0.5041161080219997	103000.0	1000	0.5041161080219997	51.5	105	0.05293219134230996	309.0	0	0.0	309.0	0	0.0
CassandraWriteRequest	500	52	105000.0	992	0.5000831791578236	105000.0	987	0.4975625986177136	52.5	101	0.05091572691022196	315.0	0	0.0	315.0	0	0.0
CassandraWriteRequest	500	53	107000.0	995	0.5015955274818896	107000.0	1000	0.5041161080219997	53.5	109	0.05494865577439796	321.0	0	0.0	321.0	0	0.0
CassandraWriteRequest	500	54	109000.0	999	0.5036119919139777	109000.0	990	0.4990749469417796	54.5	106	0.05343630745033196	327.0	0	0.0	327.0	0	0.0
CassandraWriteRequest	500	55	111000.0	990	0.4990749469417796	111000.0	998	0.5031078758059556	55.5	63	0.03175931480538598	333.0	0	0.0	333.0	0	0.0
CassandraWriteRequest	500	56	113000.0	991	0.49957906304980165	113000.0	990	0.4990749469417796	56.5	111	0.05595688799044196	339.0	0	0.0	339.0	0	0.0
CassandraWriteRequest	500	57	115000.0	986	0.49705848250969165	115000.0	988	0.49806671472573566	57.5	97	0.04889926247813396	345.0	0	0.0	345.0	0	0.0
