'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	1500	0	1000.0	2637	0.4522310580011627	1000.0	2573	0.44125540850852923	1.5	202783	34.77617392288577	4.5	583109	99.99999999999999	4.5	583109	99.99999999999999
CassandraWriteRequest	1500	1	3000.0	2343	0.4018116681443778	3000.0	2371	0.40661351479740493	4.5	139017	23.84065414870976	13.5	0	0.0	13.5	0	0.0
CassandraWriteRequest	1500	2	5000.0	2914	0.49973504096146687	5000.0	2936	0.5035079204745596	7.5	74780	12.824360454048898	22.5	0	0.0	22.5	0	0.0
CassandraWriteRequest	1500	3	7000.0	2913	0.49956354643814443	7000.0	2916	0.5000780300081117	10.5	44980	7.713823659041448	31.5	0	0.0	31.5	0	0.0
CassandraWriteRequest	1500	4	9000.0	2961	0.5077952835576196	9000.0	2959	0.5074522945109747	13.5	28891	4.9546482733073915	40.5	0	0.0	40.5	0	0.0
CassandraWriteRequest	1500	5	11000.0	2831	0.48550099552570786	11000.0	2826	0.48464352290909585	16.5	19721	3.382043494441005	49.5	0	0.0	49.5	0	0.0
CassandraWriteRequest	1500	6	13000.0	2904	0.4980200957282429	13000.0	2898	0.4969911285883085	19.5	14210	2.4369371764112713	58.5	0	0.0	58.5	0	0.0
CassandraWriteRequest	1500	7	15000.0	2958	0.5072807999876524	15000.0	2980	0.5110536795007451	22.5	10212	1.7513020721683252	67.5	0	0.0	67.5	0	0.0
CassandraWriteRequest	1500	8	17000.0	2983	0.5115681630707123	17000.0	2978	0.5107106904541003	25.5	7723	1.3244522036188773	76.5	0	0.0	76.5	0	0.0
CassandraWriteRequest	1500	9	19000.0	2982	0.5113966685473899	19000.0	2983	0.5115681630707123	28.5	5455	0.9355026247236794	85.5	0	0.0	85.5	0	0.0
CassandraWriteRequest	1500	10	21000.0	2980	0.5110536795007451	21000.0	2922	0.5011069971480461	31.5	4355	0.7468586490690419	94.5	0	0.0	94.5	0	0.0
CassandraWriteRequest	1500	11	23000.0	2931	0.5026504478579477	23000.0	2982	0.5113966685473899	34.5	3631	0.622696614183626	103.5	0	0.0	103.5	0	0.0
CassandraWriteRequest	1500	12	25000.0	2980	0.5110536795007451	25000.0	2989	0.5125971302106467	37.5	3079	0.5280316373096625	112.5	0	0.0	112.5	0	0.0
CassandraWriteRequest	1500	13	27000.0	2995	0.5136260973505811	27000.0	2998	0.5141405809205483	40.5	2896	0.4966481395416637	121.5	0	0.0	121.5	0	0.0
CassandraWriteRequest	1500	14	29000.0	2999	0.5143120754438707	29000.0	2998	0.5141405809205483	43.5	2377	0.4076424819373393	130.5	0	0.0	130.5	0	0.0
CassandraWriteRequest	1500	15	31000.0	2679	0.4594338279807034	31000.0	2617	0.4488011675347147	46.5	1844	0.31623590100650134	139.5	0	0.0	139.5	0	0.0
CassandraWriteRequest	1500	16	33000.0	2650	0.45446048680435386	33000.0	2651	0.4546319813276763	49.5	1443	0.24746659715421987	148.5	0	0.0	148.5	0	0.0
CassandraWriteRequest	1500	17	35000.0	2936	0.5035079204745596	35000.0	2998	0.5141405809205483	52.5	1403	0.24060681622132396	157.5	0	0.0	157.5	0	0.0
CassandraWriteRequest	1500	18	37000.0	2999	0.5143120754438707	37000.0	3000	0.514483569967193	55.5	1091	0.18710052494473586	166.5	0	0.0	166.5	0	0.0
