'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	2000	0	1500.5	5991	0.5058962114782961	1500.5	5991	0.5058962114782961	2.5	800894	67.62965120943056	4.5	1184235	99.99999999999999	4.5	1184235	99.99999999999999
CassandraWriteRequest	2000	1	4501.5	5990	0.5058117687790008	4501.5	5989	0.5057273260797054	7.5	224255	18.936697530473257	13.5	0	0.0	13.5	0	0.0
CassandraWriteRequest	2000	2	7502.5	5987	0.5055584406811148	7502.5	5967	0.5038695866952083	12.5	80960	6.836480934949566	22.5	0	0.0	22.5	0	0.0
CassandraWriteRequest	2000	3	10503.5	5882	0.49669195725510557	10503.5	5881	0.49660751455581026	17.5	35225	2.9744940826778468	31.5	0	0.0	31.5	0	0.0
CassandraWriteRequest	2000	4	13504.5	5956	0.5029407170029597	13504.5	5964	0.5036162585973223	22.5	17545	1.4815471591364888	40.5	0	0.0	40.5	0	0.0
CassandraWriteRequest	2000	5	16505.5	5944	0.5019274046114157	16505.5	5944	0.5019274046114157	27.5	8094	0.683479208096366	49.5	0	0.0	49.5	0	0.0
CassandraWriteRequest	2000	6	19506.5	5970	0.5041229147930942	19506.5	5969	0.5040384720937989	32.5	3824	0.32290888210532537	58.5	0	0.0	58.5	0	0.0
CassandraWriteRequest	2000	7	22507.5	5976	0.5046295709888662	22507.5	5991	0.5058962114782961	37.5	1897	0.16018780056323279	67.5	0	0.0	67.5	0	0.0
CassandraWriteRequest	2000	8	25508.5	5993	0.5060650968768867	25508.5	5993	0.5060650968768867	42.5	1479	0.12489075225778666	76.5	0	0.0	76.5	0	0.0
CassandraWriteRequest	2000	9	28509.5	5853	0.49424311897554113	28509.5	5831	0.49238537959104395	47.5	948	0.08005167893196874	85.5	0	0.0	85.5	0	0.0
CassandraWriteRequest	2000	10	31510.5	5971	0.5042073574923895	31510.5	5993	0.5060650968768867	52.5	646	0.05454998374478038	94.5	0	0.0	94.5	0	0.0
CassandraWriteRequest	2000	11	34511.5	5999	0.5065717530726587	34511.5	5999	0.5065717530726587	57.5	704	0.05944766030390927	103.5	0	0.0	103.5	0	0.0
CassandraWriteRequest	2000	12	37512.5	6000	0.506656195771954	37512.5	6000	0.506656195771954	62.5	635	0.053621114052531796	112.5	0	0.0	112.5	0	0.0
CassandraWriteRequest	2000	13	40513.5	5996	0.5063184249747728	40513.5	5990	0.5058117687790008	67.5	607	0.05125671847226268	121.5	0	0.0	121.5	0	0.0
CassandraWriteRequest	2000	14	43514.5	5846	0.4936520200804739	43514.5	5840	0.4931453638847019	72.5	575	0.048554552094812256	130.5	0	0.0	130.5	0	0.0
CassandraWriteRequest	2000	15	46515.5	5938	0.5014207484156438	46515.5	5922	0.5000696652269186	77.5	565	0.047710125101859	139.5	0	0.0	139.5	0	0.0
CassandraWriteRequest	2000	16	49516.5	5958	0.5031096024015503	49516.5	5983	0.5052206698839334	82.5	503	0.04247467774554881	148.5	0	0.0	148.5	0	0.0
CassandraWriteRequest	2000	17	52517.5	5912	0.49922523823396536	52517.5	5851	0.49407423357695046	87.5	433	0.036563688794876016	157.5	0	0.0	157.5	0	0.0
CassandraWriteRequest	2000	18	55518.5	5903	0.49846525394030744	55518.5	5956	0.5029407170029597	92.5	298	0.025163924390007048	166.5	0	0.0	166.5	0	0.0
CassandraWriteRequest	2000	19	58519.5	5989	0.5057273260797054	58519.5	5987	0.5055584406811148	97.5	311	0.026261679480846283	175.5	0	0.0	175.5	0	0.0
CassandraWriteRequest	2000	20	61520.5	5987	0.5055584406811148	61520.5	5984	0.5053051125832287	102.5	416	0.03512816290685548	184.5	0	0.0	184.5	0	0.0
CassandraWriteRequest	2000	21	64521.5	5943	0.5018429619121204	64521.5	5959	0.5031940451008456	107.5	341	0.028794960459706052	193.5	0	0.0	193.5	0	0.0
CassandraWriteRequest	2000	22	67522.5	5987	0.5055584406811148	67522.5	5987	0.5055584406811148	112.5	275	0.023221742306214557	202.5	0	0.0	202.5	0	0.0
CassandraWriteRequest	2000	23	70523.5	5917	0.499647451730442	70523.5	5916	0.49956300903114664	117.5	296	0.024995038991416398	211.5	0	0.0	211.5	0	0.0
CassandraWriteRequest	2000	24	73524.5	5998	0.5064873103733634	73524.5	5999	0.5065717530726587	122.5	269	0.022715086110442605	220.5	0	0.0	220.5	0	0.0
CassandraWriteRequest	2000	25	76525.5	5999	0.5065717530726587	76525.5	5999	0.5065717530726587	127.5	234	0.019759591635106207	229.5	0	0.0	229.5	0	0.0
CassandraWriteRequest	2000	26	79526.5	5931	0.5008296495205765	79526.5	5867	0.4954253167656757	132.5	176	0.014861915075977318	238.5	0	0.0	238.5	0	0.0
