'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	3000	0	1500.5	8986	0.5109118861779742	1500.5	8983	0.5107413168859051	4.0	1273089	72.38329649036625	6.0	1758816	100.0	6.0	1758816	100.0
CassandraWriteRequest	3000	1	4501.5	8942	0.5084102032276259	4501.5	8881	0.5049419609555519	12.0	309398	17.591265942543163	18.0	0	0.0	18.0	0	0.0
CassandraWriteRequest	3000	2	7502.5	8586	0.48816931390207957	7502.5	8635	0.49095527900587665	20.0	102626	5.834948055964921	30.0	0	0.0	30.0	0	0.0
CassandraWriteRequest	3000	3	10503.5	8979	0.510513891163146	10503.5	8994	0.5113667376234922	28.0	37615	2.138654640394447	42.0	0	0.0	42.0	0	0.0
CassandraWriteRequest	3000	4	13504.5	8991	0.5111961683314229	13504.5	8991	0.5111961683314229	36.0	13453	0.7648895620690283	54.0	0	0.0	54.0	0	0.0
CassandraWriteRequest	3000	5	16505.5	8202	0.46633644451722067	16505.5	8202	0.46633644451722067	44.0	5122	0.29121863799283154	66.0	0	0.0	66.0	0	0.0
CassandraWriteRequest	3000	6	19506.5	9000	0.5117078762076306	19506.5	9000	0.5117078762076306	52.0	1962	0.11155231701326346	78.0	0	0.0	78.0	0	0.0
CassandraWriteRequest	3000	7	22507.5	9000	0.5117078762076306	22507.5	9000	0.5117078762076306	60.0	1259	0.07158224623837854	90.0	0	0.0	90.0	0	0.0
CassandraWriteRequest	3000	8	25508.5	8551	0.4861793388279388	25508.5	8492	0.4828248094172443	68.0	1466	0.08335152739115405	102.0	0	0.0	102.0	0	0.0
CassandraWriteRequest	3000	9	28509.5	8770	0.4986308971489911	28509.5	8826	0.5018148572676163	76.0	1554	0.08835489329185088	114.0	0	0.0	114.0	0	0.0
CassandraWriteRequest	3000	10	31510.5	8951	0.5089219111038334	31510.5	8936	0.5080690646434874	84.0	1730	0.09836162509324455	126.0	0	0.0	126.0	0	0.0
CassandraWriteRequest	3000	11	34511.5	8966	0.5097747575641796	34511.5	8981	0.5106276040245256	92.0	1415	0.08045184942597747	138.0	0	0.0	138.0	0	0.0
CassandraWriteRequest	3000	12	37512.5	8997	0.5115373069155613	37512.5	9000	0.5117078762076306	100.0	1642	0.09335825919254771	150.0	0	0.0	150.0	0	0.0
CassandraWriteRequest	3000	13	40513.5	8830	0.5020422829903753	40513.5	8768	0.49851718428761166	108.0	1331	0.07567590924803959	162.0	0	0.0	162.0	0	0.0
CassandraWriteRequest	3000	14	43514.5	8765	0.49834661499554245	43514.5	8780	0.4991994614558885	116.0	892	0.05071593617524516	174.0	0	0.0	174.0	0	0.0
CassandraWriteRequest	3000	15	46515.5	8786	0.49954060004002687	46515.5	8773	0.4988014664410603	124.0	812	0.04616742172006622	186.0	0	0.0	186.0	0	0.0
CassandraWriteRequest	3000	16	49516.5	7950	0.452008623983407	49516.5	7946	0.45178119826064805	132.0	647	0.03678611065625966	198.0	0	0.0	198.0	0	0.0
CassandraWriteRequest	3000	17	52517.5	8740	0.496925204228299	52517.5	8804	0.5005640157924421	140.0	460	0.026153958117278896	210.0	0	0.0	210.0	0	0.0
CassandraWriteRequest	3000	18	55518.5	8989	0.5110824554700435	55518.5	8980	0.5105707475938358	148.0	283	0.016090369885195493	222.0	0	0.0	222.0	0	0.0
CassandraWriteRequest	3000	19	58519.5	8952	0.5089787675345232	58519.5	8942	0.5084102032276259	156.0	230	0.013076979058639448	234.0	0	0.0	234.0	0	0.0
CassandraWriteRequest	3000	20	61520.5	8780	0.4991994614558885	61520.5	8796	0.5001091643469243	164.0	216	0.012280989028983133	246.0	0	0.0	246.0	0	0.0
CassandraWriteRequest	3000	21	64521.5	8995	0.5114235940541819	64521.5	8990	0.5111393119007331	172.0	205	0.011655568291396029	258.0	0	0.0	258.0	0	0.0
CassandraWriteRequest	3000	22	67522.5	8848	0.5030656987427906	67522.5	8848	0.5030656987427906	180.0	294	0.016715790622782598	270.0	0	0.0	270.0	0	0.0
CassandraWriteRequest	3000	23	70523.5	8958	0.5093199061186616	70523.5	8966	0.5097747575641796	188.0	130	0.007391335989665774	282.0	0	0.0	282.0	0	0.0
CassandraWriteRequest	3000	24	73524.5	8991	0.5111961683314229	73524.5	8980	0.5105707475938358	196.0	148	0.008414751742081035	294.0	0	0.0	294.0	0	0.0
CassandraWriteRequest	3000	25	76525.5	8685	0.4937981005403635	76525.5	8637	0.4910689918672561	204.0	102	0.005799355930353146	306.0	0	0.0	306.0	0	0.0
CassandraWriteRequest	3000	26	79526.5	8719	0.4957312191838145	79526.5	8776	0.49897203573312954	212.0	68	0.0038662372869020974	318.0	0	0.0	318.0	0	0.0
CassandraWriteRequest	3000	27	82527.5	8654	0.4920355511889816	82527.5	8653	0.4919786947582919	220.0	130	0.007391335989665774	330.0	0	0.0	330.0	0	0.0
CassandraWriteRequest	3000	28	85528.5	8950	0.5088650546731437	85528.5	8926	0.50750050033659	228.0	88	0.005003365900696832	342.0	0	0.0	342.0	0	0.0
CassandraWriteRequest	3000	29	88529.5	8948	0.5087513418117643	88529.5	8975	0.5102864654403871	236.0	67	0.003809380856212361	354.0	0	0.0	354.0	0	0.0
CassandraWriteRequest	3000	30	91530.5	8908	0.5064770845841747	91530.5	8863	0.5039185452031366	244.0	39	0.0022174007968997324	366.0	0	0.0	366.0	0	0.0
CassandraWriteRequest	3000	31	94531.5	8908	0.5064770845841747	94531.5	8930	0.507727926059349	252.0	7	3.979950148281571E-4	378.0	0	0.0	378.0	0	0.0
CassandraWriteRequest	3000	32	97532.5	8958	0.5093199061186616	97532.5	8979	0.510513891163146	260.0	3	1.7056929206921018E-4	390.0	0	0.0	390.0	0	0.0
CassandraWriteRequest	3000	33	100533.5	8928	0.5076142131979695	100533.5	8871	0.5043733966486545	268.0	1	5.685643068973673E-5	402.0	0	0.0	402.0	0	0.0
CassandraWriteRequest	3000	34	103534.5	8394	0.4772528792096501	103534.5	8401	0.4776508742244783	276.0	8	4.5485144551789383E-4	414.0	0	0.0	414.0	0	0.0
CassandraWriteRequest	3000	35	106535.5	8745	0.49720948638174767	106535.5	8733	0.4965272092134709	284.0	3	1.7056929206921018E-4	426.0	0	0.0	426.0	0	0.0
CassandraWriteRequest	3000	36	109536.5	8936	0.5080690646434874	109536.5	9000	0.5117078762076306	292.0	19	0.001080272183104998	438.0	0	0.0	438.0	0	0.0
CassandraWriteRequest	3000	37	112537.5	8996	0.5114804504848716	112537.5	8996	0.5114804504848716	300.0	22	0.001250841475174208	450.0	0	0.0	450.0	0	0.0
CassandraWriteRequest	3000	38	115538.5	8979	0.510513891163146	115538.5	8915	0.5068750795990029	308.0	11	6.25420737587104E-4	462.0	0	0.0	462.0	0	0.0
CassandraWriteRequest	3000	39	118539.5	8912	0.5067045103069338	118539.5	8950	0.5088650546731437	316.0	10	5.685643068973672E-4	474.0	0	0.0	474.0	0	0.0
CassandraWriteRequest	3000	40	121540.5	8663	0.49254725906518926	121540.5	8625	0.49038671469897926	324.0	20	0.0011371286137947345	486.0	0	0.0	486.0	0	0.0
CassandraWriteRequest	3000	41	124541.5	8936	0.5080690646434874	124541.5	9000	0.5117078762076306	332.0	8	4.5485144551789383E-4	498.0	0	0.0	498.0	0	0.0
CassandraWriteRequest	3000	42	127542.5	8920	0.5071593617524516	127542.5	8913	0.5067613667376235	340.0	13	7.391335989665775E-4	510.0	0	0.0	510.0	0	0.0
CassandraWriteRequest	3000	43	130543.5	8802	0.5004503029310627	130543.5	8745	0.49720948638174767	348.0	10	5.685643068973672E-4	522.0	0	0.0	522.0	0	0.0
CassandraWriteRequest	3000	44	133544.5	8733	0.4965272092134709	133544.5	8765	0.49834661499554245	356.0	4	2.2742572275894691E-4	534.0	0	0.0	534.0	0	0.0
CassandraWriteRequest	3000	45	136545.5	8819	0.5014168622527883	136545.5	8795	0.5000523079162346	364.0	8	4.5485144551789383E-4	546.0	0	0.0	546.0	0	0.0
CassandraWriteRequest	3000	46	139546.5	8610	0.4895338682386332	139546.5	8643	0.49141013045139453	372.0	21	0.0011939850444844713	558.0	0	0.0	558.0	0	0.0
