'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	500	0	1500.0	1493	0.5006925184531854	1500.0	1493	0.5006925184531854	2.0	217406	72.90928175943284	3.5	298187	100.0	3.5	298187	100.0
CassandraWriteRequest	500	1	4500.0	1484	0.4976742782213846	4500.0	1480	0.496332838118362	6.0	45903	15.394031262261601	10.5	0	0.0	10.5	0	0.0
CassandraWriteRequest	500	2	7500.0	1492	0.5003571584274298	7500.0	1496	0.5016985985304524	10.0	13912	4.665528678312603	17.5	0	0.0	17.5	0	0.0
CassandraWriteRequest	500	3	10500.0	1500	0.503040038633475	10500.0	1500	0.503040038633475	14.0	6403	2.147310244913427	24.5	0	0.0	24.5	0	0.0
CassandraWriteRequest	500	4	13500.0	1499	0.5027046786077193	13500.0	1494	0.501027878478941	18.0	3102	1.0402867998940262	31.5	0	0.0	31.5	0	0.0
CassandraWriteRequest	500	5	16500.0	1492	0.5003571584274298	16500.0	1457	0.488619557525982	22.0	1752	0.5875507651238988	38.5	0	0.0	38.5	0	0.0
CassandraWriteRequest	500	6	19500.0	1454	0.4876134774487151	19500.0	1494	0.501027878478941	26.0	1170	0.39237123013411046	45.5	0	0.0	45.5	0	0.0
CassandraWriteRequest	500	7	22500.0	1500	0.503040038633475	22500.0	1499	0.5027046786077193	30.0	977	0.32764674516327	52.5	0	0.0	52.5	0	0.0
CassandraWriteRequest	500	8	25500.0	1498	0.5023693185819637	25500.0	1493	0.5006925184531854	34.0	929	0.31154946392699884	59.5	0	0.0	59.5	0	0.0
CassandraWriteRequest	500	9	28500.0	1492	0.5003571584274298	28500.0	1498	0.5023693185819637	38.0	980	0.32865282524053696	66.5	0	0.0	66.5	0	0.0
CassandraWriteRequest	500	10	31500.0	1487	0.49868035829865154	31500.0	1485	0.49800963824714023	42.0	1746	0.5855386049693648	73.5	0	0.0	73.5	0	0.0
CassandraWriteRequest	500	11	34500.0	1494	0.501027878478941	34500.0	1496	0.5016985985304524	46.0	1851	0.6207514076737082	80.5	0	0.0	80.5	0	0.0
CassandraWriteRequest	500	12	37500.0	1500	0.503040038633475	37500.0	1498	0.5023693185819637	50.0	324	0.10865664834483059	87.5	0	0.0	87.5	0	0.0
CassandraWriteRequest	500	13	40500.0	1497	0.502033958556208	40500.0	1496	0.5016985985304524	54.0	154	0.0516454439663701	94.5	0	0.0	94.5	0	0.0
CassandraWriteRequest	500	14	43500.0	1492	0.5003571584274298	43500.0	1481	0.4966681981441176	58.0	142	0.0476211236573023	101.5	0	0.0	101.5	0	0.0
CassandraWriteRequest	500	15	46500.0	1478	0.4956621180668507	46500.0	1491	0.5000217984016742	62.0	76	0.0254873619574294	108.5	0	0.0	108.5	0	0.0
CassandraWriteRequest	500	16	49500.0	1499	0.5027046786077193	49500.0	1500	0.503040038633475	66.0	88	0.0295116822664972	115.5	0	0.0	115.5	0	0.0
CassandraWriteRequest	500	17	52500.0	1500	0.503040038633475	52500.0	1499	0.5027046786077193	70.0	76	0.0254873619574294	122.5	0	0.0	122.5	0	0.0
CassandraWriteRequest	500	18	55500.0	1498	0.5023693185819637	55500.0	1499	0.5027046786077193	74.0	89	0.029847042292252848	129.5	0	0.0	129.5	0	0.0
CassandraWriteRequest	500	19	58500.0	1500	0.503040038633475	58500.0	1500	0.503040038633475	78.0	69	0.02313984177713985	136.5	0	0.0	136.5	0	0.0
CassandraWriteRequest	500	20	61500.0	1500	0.503040038633475	61500.0	1500	0.503040038633475	82.0	63	0.02112768162260595	143.5	0	0.0	143.5	0	0.0
CassandraWriteRequest	500	21	64500.0	1444	0.4842598771911586	64500.0	1444	0.4842598771911586	86.0	71	0.02381056182865115	150.5	0	0.0	150.5	0	0.0
CassandraWriteRequest	500	22	67500.0	1492	0.5003571584274298	67500.0	1492	0.5003571584274298	90.0	85	0.028505602189230247	157.5	0	0.0	157.5	0	0.0
CassandraWriteRequest	500	23	70500.0	1496	0.5016985985304524	70500.0	1496	0.5016985985304524	94.0	92	0.0308531223695198	164.5	0	0.0	164.5	0	0.0
CassandraWriteRequest	500	24	73500.0	1496	0.5016985985304524	73500.0	1492	0.5003571584274298	98.0	70	0.023475201802895498	171.5	0	0.0	171.5	0	0.0
CassandraWriteRequest	500	25	76500.0	1495	0.5013632385046968	76500.0	1497	0.502033958556208	102.0	78	0.026158082008940698	178.5	0	0.0	178.5	0	0.0
CassandraWriteRequest	500	26	79500.0	1498	0.5023693185819637	79500.0	1496	0.5016985985304524	106.0	70	0.023475201802895498	185.5	0	0.0	185.5	0	0.0
CassandraWriteRequest	500	27	82500.0	1489	0.49935107835016285	82500.0	1493	0.5006925184531854	110.0	86	0.0288409622149859	192.5	0	0.0	192.5	0	0.0
CassandraWriteRequest	500	28	85500.0	1475	0.49465603798958374	85500.0	1461	0.48996099762900464	114.0	53	0.01777408136504945	199.5	0	0.0	199.5	0	0.0
CassandraWriteRequest	500	29	88500.0	1439	0.48258307706238035	88500.0	1442	0.4835891571396473	118.0	57	0.01911552146807205	206.5	0	0.0	206.5	0	0.0
CassandraWriteRequest	500	30	91500.0	1463	0.49063171768051594	91500.0	1474	0.49432067796382806	122.0	46	0.0154265611847599	213.5	0	0.0	213.5	0	0.0
CassandraWriteRequest	500	31	94500.0	1500	0.503040038633475	94500.0	1491	0.5000217984016742	126.0	51	0.017103361313538148	220.5	0	0.0	220.5	0	0.0
CassandraWriteRequest	500	32	97500.0	1482	0.4970035581698733	97500.0	1488	0.49901571832440716	130.0	29	0.00972544074691385	227.5	0	0.0	227.5	0	0.0
CassandraWriteRequest	500	33	100500.0	1496	0.5016985985304524	100500.0	1496	0.5016985985304524	134.0	22	0.0073779205666243	234.5	0	0.0	234.5	0	0.0
CassandraWriteRequest	500	34	103500.0	1497	0.502033958556208	103500.0	1499	0.5027046786077193	138.0	36	0.0120729609272034	241.5	0	0.0	241.5	0	0.0
CassandraWriteRequest	500	35	106500.0	1497	0.502033958556208	106500.0	1497	0.502033958556208	142.0	11	0.00368896028331215	248.5	0	0.0	248.5	0	0.0
CassandraWriteRequest	500	36	109500.0	1496	0.5016985985304524	109500.0	1495	0.5013632385046968	146.0	11	0.00368896028331215	255.5	0	0.0	255.5	0	0.0
CassandraWriteRequest	500	37	112500.0	1494	0.501027878478941	112500.0	1494	0.501027878478941	150.0	13	0.00435968033482345	262.5	0	0.0	262.5	0	0.0
CassandraWriteRequest	500	38	115500.0	1493	0.5006925184531854	115500.0	1495	0.5013632385046968	154.0	4	0.0013414401030226	269.5	0	0.0	269.5	0	0.0
CassandraWriteRequest	500	39	118500.0	1500	0.503040038633475	118500.0	1500	0.503040038633475	158.0	6	0.0020121601545339	276.5	0	0.0	276.5	0	0.0
CassandraWriteRequest	500	40	121500.0	1373	0.46044931536250744	121500.0	1373	0.46044931536250744	162.0	9	0.00301824023180085	283.5	0	0.0	283.5	0	0.0
CassandraWriteRequest	500	41	124500.0	1496	0.5016985985304524	124500.0	1496	0.5016985985304524	166.0	10	0.0033536002575565	290.5	0	0.0	290.5	0	0.0
CassandraWriteRequest	500	42	127500.0	1500	0.503040038633475	127500.0	1500	0.503040038633475	170.0	1	3.3536002575565E-4	297.5	0	0.0	297.5	0	0.0
CassandraWriteRequest	500	43	130500.0	1500	0.503040038633475	130500.0	1500	0.503040038633475	174.0	0	0.0	304.5	0	0.0	304.5	0	0.0
CassandraWriteRequest	500	44	133500.0	1489	0.49935107835016285	133500.0	1482	0.4970035581698733	178.0	0	0.0	311.5	0	0.0	311.5	0	0.0
CassandraWriteRequest	500	45	136500.0	1491	0.5000217984016742	136500.0	1498	0.5023693185819637	182.0	0	0.0	318.5	0	0.0	318.5	0	0.0
CassandraWriteRequest	500	46	139500.0	1500	0.503040038633475	139500.0	1500	0.503040038633475	186.0	0	0.0	325.5	0	0.0	325.5	0	0.0
CassandraWriteRequest	500	47	142500.0	1495	0.5013632385046968	142500.0	1491	0.5000217984016742	190.0	0	0.0	332.5	0	0.0	332.5	0	0.0
CassandraWriteRequest	500	48	145500.0	1491	0.5000217984016742	145500.0	1492	0.5003571584274298	194.0	0	0.0	339.5	0	0.0	339.5	0	0.0
CassandraWriteRequest	500	49	148500.0	1474	0.49432067796382806	148500.0	1477	0.49532675804109505	198.0	0	0.0	346.5	0	0.0	346.5	0	0.0
CassandraWriteRequest	500	50	151500.0	1496	0.5016985985304524	151500.0	1492	0.5003571584274298	202.0	0	0.0	353.5	0	0.0	353.5	0	0.0
CassandraWriteRequest	500	51	154500.0	1495	0.5013632385046968	154500.0	1498	0.5023693185819637	206.0	0	0.0	360.5	0	0.0	360.5	0	0.0
CassandraWriteRequest	500	52	157500.0	1497	0.502033958556208	157500.0	1498	0.5023693185819637	210.0	0	0.0	367.5	0	0.0	367.5	0	0.0
CassandraWriteRequest	500	53	160500.0	1500	0.503040038633475	160500.0	1499	0.5027046786077193	214.0	0	0.0	374.5	0	0.0	374.5	0	0.0
CassandraWriteRequest	500	54	163500.0	1498	0.5023693185819637	163500.0	1498	0.5023693185819637	218.0	0	0.0	381.5	0	0.0	381.5	0	0.0
CassandraWriteRequest	500	55	166500.0	1499	0.5027046786077193	166500.0	1498	0.5023693185819637	222.0	0	0.0	388.5	0	0.0	388.5	0	0.0
CassandraWriteRequest	500	56	169500.0	1498	0.5023693185819637	169500.0	1500	0.503040038633475	226.0	0	0.0	395.5	0	0.0	395.5	0	0.0
CassandraWriteRequest	500	57	172500.0	1500	0.503040038633475	172500.0	1500	0.503040038633475	230.0	0	0.0	402.5	0	0.0	402.5	0	0.0
CassandraWriteRequest	500	58	175500.0	1498	0.5023693185819637	175500.0	1498	0.5023693185819637	234.0	0	0.0	409.5	0	0.0	409.5	0	0.0
CassandraWriteRequest	500	59	178500.0	1499	0.5027046786077193	178500.0	1499	0.5027046786077193	238.0	0	0.0	416.5	0	0.0	416.5	0	0.0
CassandraWriteRequest	500	60	181500.0	1497	0.502033958556208	181500.0	1496	0.5016985985304524	242.0	0	0.0	423.5	0	0.0	423.5	0	0.0
CassandraWriteRequest	500	61	184500.0	1499	0.5027046786077193	184500.0	1500	0.503040038633475	246.0	0	0.0	430.5	0	0.0	430.5	0	0.0
CassandraWriteRequest	500	62	187500.0	1499	0.5027046786077193	187500.0	1498	0.5023693185819637	250.0	0	0.0	437.5	0	0.0	437.5	0	0.0
CassandraWriteRequest	500	63	190500.0	1499	0.5027046786077193	190500.0	1500	0.503040038633475	254.0	0	0.0	444.5	0	0.0	444.5	0	0.0
CassandraWriteRequest	500	64	193500.0	1500	0.503040038633475	193500.0	1500	0.503040038633475	258.0	0	0.0	451.5	0	0.0	451.5	0	0.0
CassandraWriteRequest	500	65	196500.0	1494	0.501027878478941	196500.0	1494	0.501027878478941	262.0	0	0.0	458.5	0	0.0	458.5	0	0.0
CassandraWriteRequest	500	66	199500.0	1500	0.503040038633475	199500.0	1500	0.503040038633475	266.0	0	0.0	465.5	0	0.0	465.5	0	0.0
CassandraWriteRequest	500	67	202500.0	1499	0.5027046786077193	202500.0	1499	0.5027046786077193	270.0	0	0.0	472.5	0	0.0	472.5	0	0.0
CassandraWriteRequest	500	68	205500.0	1498	0.5023693185819637	205500.0	1498	0.5023693185819637	274.0	0	0.0	479.5	0	0.0	479.5	0	0.0
CassandraWriteRequest	500	69	208500.0	1495	0.5013632385046968	208500.0	1495	0.5013632385046968	278.0	0	0.0	486.5	0	0.0	486.5	0	0.0
