'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	4000	0	1500.0	6035	0.26148384172840167	1500.0	5971	0.2587108564971477	5.0	1774016	76.8643776251288	7.5	2307982	100.0	7.5	2307982	100.0
CassandraWriteRequest	4000	1	4500.0	10667	0.46217864784040774	4500.0	10678	0.46265525467702956	15.0	448962	19.452578053035076	22.5	0	0.0	22.5	0	0.0
CassandraWriteRequest	4000	2	7500.0	10351	0.4484870332610913	7500.0	10340	0.44801042642446953	25.0	51893	2.248414415710348	37.5	0	0.0	37.5	0	0.0
CassandraWriteRequest	4000	3	10500.0	11407	0.4942412895767818	10500.0	11407	0.4942412895767818	35.0	10757	0.46607815832185867	52.5	0	0.0	52.5	0	0.0
CassandraWriteRequest	4000	4	13500.0	10072	0.4363985507685935	13500.0	10072	0.4363985507685935	45.0	2934	0.12712404169529917	67.5	0	0.0	67.5	0	0.0
CassandraWriteRequest	4000	5	16500.0	11056	0.4790331986991233	16500.0	11070	0.4796397892184601	55.0	1653	0.07162100917598144	82.5	0	0.0	82.5	0	0.0
CassandraWriteRequest	4000	6	19500.0	11870	0.5143021046091347	19500.0	11889	0.5151253345996633	65.0	2076	0.08994870843880065	97.5	0	0.0	97.5	0	0.0
CassandraWriteRequest	4000	7	22500.0	11705	0.5071530020598081	22500.0	11681	0.5061131325980879	75.0	2010	0.08708906741907	112.5	0	0.0	112.5	0	0.0
CassandraWriteRequest	4000	8	25500.0	10899	0.4722307193037034	25500.0	10890	0.4718407682555583	85.0	2509	0.1087096866440033	127.5	0	0.0	127.5	0	0.0
CassandraWriteRequest	4000	9	28500.0	11788	0.5107492172815906	28500.0	11806	0.5115291193778808	95.0	1963	0.08505265638986786	142.5	0	0.0	142.5	0	0.0
CassandraWriteRequest	4000	10	31500.0	11213	0.4858356780945432	31500.0	11206	0.4855323828348748	105.0	2057	0.08912547844827212	157.5	0	0.0	157.5	0	0.0
CassandraWriteRequest	4000	11	34500.0	11767	0.5098393315025854	34500.0	11806	0.5115291193778808	115.0	1555	0.0673748755406238	172.5	0	0.0	172.5	0	0.0
CassandraWriteRequest	4000	12	37500.0	11620	0.503470131049549	37500.0	11581	0.5017803431742536	125.0	1534	0.06646498976161859	187.5	0	0.0	187.5	0	0.0
CassandraWriteRequest	4000	13	40500.0	11206	0.4855323828348748	40500.0	11195	0.485055775998253	135.0	1414	0.061265642453017397	202.5	0	0.0	202.5	0	0.0
CassandraWriteRequest	4000	14	43500.0	11936	0.5171617456288654	43500.0	12000	0.5199347308601193	145.0	944	0.040901532160996054	217.5	0	0.0	217.5	0	0.0
CassandraWriteRequest	4000	15	46500.0	11868	0.5142154488206581	46500.0	11824	0.5123090214741709	155.0	408	0.017677780849244058	232.5	0	0.0	232.5	0	0.0
