'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	2000	0	1500.0	5997	0.5058915230903164	1500.0	5991	0.5053853784949284	2.0	655256	55.275713832594356	4.5	1185432	100.0	4.5	1185432	100.0
CassandraWriteRequest	2000	1	4500.0	5969	0.5035295149785057	4500.0	5971	0.503698229843635	6.0	275151	23.211031927601077	13.5	0	0.0	13.5	0	0.0
CassandraWriteRequest	2000	2	7500.0	5982	0.5046261616018464	7500.0	5983	0.504710519034411	10.0	108584	9.159867457601953	22.5	0	0.0	22.5	0	0.0
CassandraWriteRequest	2000	3	10500.0	5989	0.5052166636297991	10500.0	5964	0.5031077278156824	14.0	56561	4.771340743290209	31.5	0	0.0	31.5	0	0.0
CassandraWriteRequest	2000	4	13500.0	5913	0.4988054987548843	13500.0	5935	0.500661362271307	18.0	31626	2.667888162290203	40.5	0	0.0	40.5	0	0.0
CassandraWriteRequest	2000	5	16500.0	5986	0.5049635913321051	16500.0	5988	0.5051323061972344	22.0	18849	1.5900532464114348	49.5	0	0.0	49.5	0	0.0
CassandraWriteRequest	2000	6	19500.0	5993	0.5055540933600577	19500.0	5997	0.5058915230903164	26.0	11448	0.9657238880003238	58.5	0	0.0	58.5	0	0.0
CassandraWriteRequest	2000	7	22500.0	5976	0.5041200170064584	22500.0	5966	0.5032764426808117	30.0	6841	0.5770891961748965	67.5	0	0.0	67.5	0	0.0
CassandraWriteRequest	2000	8	25500.0	5958	0.5026015832202944	25500.0	5955	0.5023485109226004	34.0	4268	0.36003752218600477	76.5	0	0.0	76.5	0	0.0
CassandraWriteRequest	2000	9	28500.0	5944	0.501420579164389	28500.0	5913	0.4988054987548843	38.0	2651	0.22363155372893592	85.5	0	0.0	85.5	0	0.0
CassandraWriteRequest	2000	10	31500.0	5930	0.5002395751084836	31500.0	5965	0.503192085248247	42.0	1989	0.16778693337112546	94.5	0	0.0	94.5	0	0.0
CassandraWriteRequest	2000	11	34500.0	5940	0.5010831494341303	34500.0	5898	0.4975401372664142	46.0	1734	0.146275788067135	103.5	0	0.0	103.5	0	0.0
CassandraWriteRequest	2000	12	37500.0	5924	0.4997334305130956	37500.0	5935	0.500661362271307	50.0	928	0.07828369742001227	112.5	0	0.0	112.5	0	0.0
CassandraWriteRequest	2000	13	40500.0	5909	0.4984680690246256	40500.0	5939	0.5009987920015656	54.0	715	0.06031556428373791	121.5	0	0.0	121.5	0	0.0
CassandraWriteRequest	2000	14	43500.0	5782	0.4877546750889127	43500.0	5750	0.4850552372468433	58.0	463	0.03905749127744147	130.5	0	0.0	130.5	0	0.0
CassandraWriteRequest	2000	15	46500.0	5821	0.49104461495893476	46500.0	5856	0.49399712509869814	62.0	505	0.04260050344515754	139.5	0	0.0	139.5	0	0.0
CassandraWriteRequest	2000	16	49500.0	5977	0.504204374439023	49500.0	5984	0.5047948764669757	66.0	408	0.034417832486384706	148.5	0	0.0	148.5	0	0.0
CassandraWriteRequest	2000	17	52500.0	5948	0.5017580088946476	52500.0	5940	0.5010831494341303	70.0	439	0.037032912895889426	157.5	0	0.0	157.5	0	0.0
